Scene       , Required Prefab/GO, Required Component                                              , Source Script                                    , How Validated
Offline     , NetworkManagerRoot, "MyNetworkManager; FizzySteamworks; SteamLobby; LobbyController", MyNetworkManager                                 , "Stacked components on same GO; inspector references (MinigameCatalog, transports) must be assigned"
Offline     , PlayerRegistry    , PlayerList                                                      , PlayerList                                       , "Singleton consumed by PlayerData/MatchManager; absence breaks colour pooling"
Offline     , MenuCanvas        , MainMenu                                                        , MainMenu                                         , "Awake assigns static instance used by PlayerScript & SteamLobby"
Offline     , PopupCanvas       , PopupManager                                                    , PopupManager                                     , "Awake assigns static instance; missing reference leaves popups stuck"
Offline     , HUDSettings       , HUDSO                                                           , LobbyController                                  , "Serialized ScriptableObject; timers/ready UI use its events"
Offline     , DatabaseAsset     , Database                                                        , PlayerList                                       , "Injected via inspector to serve player colours and server timers"
LoadingScene, LoadingScreenRoot , LoadingScreenUI                                                 , LoadingScreenUI                                  , "Either shipped in scene or spawned via Ensure(); creates fallback overlay if missing"
RASCUNHO    , ScoreboardCanvas  , ScoreboardUI                                                    , ScoreboardUI                                     , "slotPrefab, slotsParent, Database references required; Start() pushes cached results"
RASCUNHO    , BriefingCanvas    , BriefingManager                                                 , MyNetworkManager.WaitAllConnectionsReadyThenStart, "Singleton needed so next-round TriggerBriefing succeeds"
RASCUNHO    , PhoneUI           , MainMenu                                                        , PlayerScript                                     , "Player phone menu expects MainMenu component active for host controls"
Vitoria     , ScoreboardCanvas  , ScoreboardUI                                                    , ScoreboardUI                                     , "Same requirements as RASCUNHO for final ranking"
Vitoria     , BriefingCanvas    , BriefingManager                                                 , MyNetworkManager                                 , "Keeps ready flow consistent when looping back"
MN_Barco    , Managers          , "BriefingManager; MatchManager"                                 , MyNetworkManager / MatchManager                  , "Must exist to gate ready & run freeze/match timers"
MN_Barco    , CourseController  , RaceMinigameController                                          , RaceMinigameController                           , "Requires SettingsMiniGameData + Database references; AutoFindCheckpoints expects RaceCheckpoint objects"
MN_Barco    , Checkpoints       , RaceCheckpoint                                                  , RaceMinigameController                           , "Each checkpoint exposes index and binds via ServerRegisterCheckpoint"
MN_Barco    , FinishTrigger     , RaceFinishTrigger                                               , RaceMinigameController                           , "Trigger must call BindController to register finish order"
MN_BatataQ  , Managers          , "BriefingManager; MatchManager"                                 , MyNetworkManager / MatchManager                  , "Same ready & timer requirements"
MN_BatataQ  , GameplayController, BatataQuenteMinigameController                                  , BatataQuenteMinigameController                   , "Serialized references: HUDSO, SettingsMiniGameData, SlotRoleta"
MN_BatataQ  , RouletteUI        , SlotRoleta                                                      , BatataQuenteMinigameController                   , "UI receives holder order via RPC; assigned in inspector"
MN_Corrida  , Managers          , "BriefingManager; MatchManager"                                 , MyNetworkManager / MatchManager                  , "Same ready & timer requirements"
MN_Corrida  , TrackController   , RaceMinigameController                                          , RaceMinigameController                           , "Needs SettingsMiniGameData, Database, startReference"
MN_Corrida  , Checkpoints       , RaceCheckpoint                                                  , RaceMinigameController                           , "Auto-found; indexes define lap progress"
MN_Corrida  , FinishTrigger     , RaceFinishTrigger                                               , RaceMinigameController                           , "Binds to controller for finish events"
MN_Fut      , Managers          , "BriefingManager; MatchManager"                                 , MyNetworkManager / MatchManager                  , "Same gating"
MN_Fut      , FieldController   , SoccerMinigameController                                        , SoccerMinigameController                         , "Inspector references: SettingsMiniGameData, Database"
MN_Fut      , Ball              , BallPhysics                                                     , SoccerMinigameController                         , "ResetBall invoked after every goal; component must exist"
MN_Fut      , Goals             , GoalTrigger                                                     , SoccerMinigameController                         , "BindController assigns callbacks; netOwnerTeam values determine scoring"
MN_Fut      , HUD               , SoccerHUD                                                       , SoccerMinigameController                         , "Updated via RpcUpdateSoccerScore / RpcShowGoal"
MN_Memoria  , Managers          , "BriefingManager; MatchManager"                                 , MyNetworkManager / MatchManager                  , "Same gating"
MN_Memoria  , GameplayController, MemoriaMinigameController                                       , MemoriaMinigameController                        , "SettingsMiniGameData reference; adds itself as observer"
MN_Memoria  , Instructor        , Instrutor                                                       , MemoriaMinigameController                        , "StartMatch expects Instrutor to exist; logs warning otherwise"
MN_new_Rua  , Managers          , "BriefingManager; MatchManager"                                 , MyNetworkManager / MatchManager                  , "Same gating"
MN_new_Rua  , GameplayController, StreetMinigameController                                        , StreetMinigameController                         , "Needs SettingsMiniGameData, Database, HUDSO"
MN_new_Rua  , PickupZones       , StreetCourierZone (Pickup)                                      , StreetMinigameController                         , "ServerPickup invoked on trigger enter; zones must be tagged"
MN_new_Rua  , DropoffZones      , StreetCourierZone (Dropoff)                                     , StreetMinigameController                         , "ServerRegisterDropoff assigns ownership/colour"
MN_Queda    , Managers          , "BriefingManager; MatchManager"                                 , MyNetworkManager / MatchManager                  , "Same gating"
MN_Queda    , GameplayController, QuedaMinigameController                                         , QuedaMinigameController                          , "SettingsMiniGameData assigned; elimination triggers fire finalizar event"
MN_Queda    , FallingTiles      , Hazard prefabs calling controller                               , QuedaMinigameController                          , "Tiles/triggers must invoke Eliminate() when players fall"
MN_Round6   , Managers          , "BriefingManager; MatchManager"                                 , MyNetworkManager / MatchManager                  , "Same gating"
MN_Round6   , GameplayController, GlassMinigameController                                         , GlassMinigameController                          , "Requires SettingsMiniGameData; optional GlassPathData defines safe sides"
MN_Round6   , GlassTiles        , GlassTile                                                       , GlassMinigameController                          , "ServerAutoBindTiles expects rowIndex/side configured"
MN_Rua      , Managers          , "BriefingManager; MatchManager"                                 , MyNetworkManager / MatchManager                  , "Legacy street scene"
MN_Rua      , GameplayController, StreetMinigameController                                        , StreetMinigameController                         , "Same dependencies as MN_new_Rua"
MN_Rua      , DropoffZones      , StreetCourierZone                                               , StreetMinigameController                         , "Ensure HasOwner resets between rounds"
MN_Run      , Managers          , "BriefingManager; MatchManager"                                 , MyNetworkManager / MatchManager                  , "Running race variant"
MN_Run      , TrackController   , RaceMinigameController                                          , RaceMinigameController                           , "Same checkpoint/finish setup as MN_Corrida"
MN_Sumo     , Managers          , "BriefingManager; MatchManager"                                 , MyNetworkManager / MatchManager                  , "Same gating"
MN_Sumo     , GameplayController, SumoMinigameController                                          , SumoMinigameController                           , "HideSequence populated; SettingsMiniGameData assigned"
MN_Sumo     , ArenaSteps        , HideStep targets                                                , SumoMinigameController                           , "Blink/disable arrays drive RPC animations"
